দুর্ঘটনা,ঘটনা
দুর্নীতি,নীতি
শিশুদের,শিশু
প্রতিরক্ষা,রক্ষা
প্রতিশ্রুতি,শ্রুতি
প্রতিপক্ষ,পক্ষ
পাহাড়ের,পাহাড়
দুর্ভোগ,ভোগ
কাগজপত্র,কাগজপত্র
বাবাকে,বাবা
কাঠের,কাঠ
দুর্ভাগ্য,ভাগ্য
দুশ্চিন্তা,চিন্তা
প্রতিফলন,ফলন
প্রতিশোধ,শোধ
মানুষজন,মানুষজন
মাংসের,মাংস
ঘরবাড়ি,ঘরবাড়ি
প্রজাপতি,প্রজাপতি
প্রতিহিংসা,হিংসা
দুর্গন্ধ,গন্ধ
চিতাবাঘ,চিতাবাঘ
গাছপালা,গাছপালা
দুর্দশা,দশা
উদ্ভিদের,্ভি
দুঃসাহস,সাহস
খাদ্যশস্য,খাদ্যশস্য
দুর্ব্যবহার,ব্যবহ
হৃদয়ের,হৃদয়
হাড়ের,হাড়
পুরুষকে,পুরুষ
দুঃস্বপ্ন,স্বপ্ন
প্রতিপালন,পালন
কৃষিজমি,কৃষিজমি
প্রতিদান,দান
দুরবস্থা,দুরবস্থা
শিলাবৃষ্টি,শিলাবৃষ্
কাঁধের,কাঁধ
দুঃসংবাদ,সংবাদ
পশুপাখি,পশুপাখি
প্রতিশব্দ,শব্দ
প্রতিধ্বনি,ধ্বনি
লবণের,লবণ
মাছরাঙা,মাছরাঙা
দুশমন,দুশমন
পুতুলের,পুতুল
দুঃশাসন,শাসন
ঘড়িতে,ঘড়ি
প্রতিরূপ,রূপ
কচ্ছপের,কচ্ছপ
কাকের,কাক
আয়নায়,আয়নায়
জলকামান,জলকা
বইগুলি,বই
দুর্গতি,গতি
বাঁশির,বাঁশির
মটরশুঁটি,মটরশুঁ
দুর্নাম,নাম
গোড়ালির,গোড়ালির
লাঠিসোঁটা,লাঠিসোঁ
প্রতিঘাত,ঘাত
সাবানের,সাবান
প্রতিসরণ,সরণ
ঝুড়িতে,ঝুড়ি
দুর্ভাবনা,ভাবনা
ঝিনুকের,ঝিনুক
বুদ্ধমূর্তি,বুদ্ধমূর্তি
দরজাটা,দরজা
বাছুরের,বাছুর
উটপাখি,উটপাখি
মাখনের,মাখন
প্রতিবিধান,বিধান
ঝর্ণাধারা,ঝর্ণাধা
মুকুটের,মুকুট
দারুচিনির,দারুচিনির
পেরেকটি,পেরেকটি
মৌচাকের,মৌচাক
প্রতিভাস,ভাস
বোতামের,বোতাম
দুরাশা,আশা
কলিজার,কলিজ
থুতনির,থুতনির
থালাবাসন,থালাবাসন
প্রতিপ্রভা,প্রভা
খুরের,খুর
বড়িগুলো,বড়ি
প্রতিরুপ,রুপ
পতাকাগুলি,পতাকা
প্রতিকল্প,কল্প
গঙ্গাফড়িং,গঙ্গাফড়িং
কোলবালিশ,কোলবালিশ
শুঁয়াপোকা,শুঁয়াপোকা
কলাগুলো,কলা
ষাঁড়গুলো,ষাঁড়
কাঁথাগুলো,কাঁথা
শালগুলো,শাল
প্রতিবাস্তব,বাস্তব
প্রতিসর্গ,সর্গ
শূকরছানা,শূকরছানা
তীরগুলো,তীর
হাতুড়িটা,হাতুড়ি
পিঁপড়াটা,পিঁপড়া
প্রতিবর্তন,বর্তন
দুর্মতি,মতি
চড়ুইদের,চড়ুই
দুর্বুদ্ধি,বুদ্ধি
দুর্দৈব,দৈব
তিমিগুলি,তিমি
মাকড়সাটা,মাকড়সা
প্রতিবন্ধন,বন্ধন
খরগোশগুলো,খরগোশ
হাঙ্গরগুলো,হাঙ্গর
প্রতিগভীর,গভীর
প্রতিক্রম,ক্রম
দুষ্কার্য,দুষ্কার্য
প্রতিবোধ,বোধ
প্রতিভূতি,ভূতি
কনুইটি,কনুই
দুর্লতা,লতা
দুর্বৃত্তি,বৃত্তি
প্রতিগ্রহণ,গ্রহণ
প্রতিপণ,পণ
প্রতিপ্রশ্ন,প্রশ্ন
আখরোটগুলো,আখরোট
